date,category_id,group_id,productId,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
2026-06-29,1,1,15061,0.25,0.5,1.96,0.33,0.28,Foil
2026-06-29,1,1,15062,0.11,0.31,10.27,0.27,,Normal
2026-06-29,1,1,15062,2.99,4.67,5.32,2.94,,Foil
2026-06-29,1,1,15063,0.05,0.27,3.0,0.14,,Normal
2026-06-29,1,1,15063,0.32,2.45,3.62,0.35,,Foil
2026-06-29,1,1,15064,3.0,3.68,13.99,3.45,,Normal
2026-06-29,1,1,15064,20.66,28.67,44.92,18.78,,Foil
2026-06-29,1,1,15065,0.02,0.25,3.0,0.17,,Normal
2026-06-29,1,1,15065,0.3,0.54,1.98,0.97,,Foil
2026-06-29,1,1,15066,0.02,0.25,7.89,0.16,,Normal
2026-06-29,1,1,15066,0.4,0.69,1.31,0.55,,Foil
2026-06-29,1,1,15067,1.56,1.83,39.99,1.7,,Normal
2026-06-29,1,1,15067,33.29,34.06,62.22,8.99,,Foil
2026-06-29,1,1,15068,2.4,5.65,19.75,5.23,,Normal
2026-06-29,1,1,15068,13.85,39.3,76.0,13.17,,Foil
2026-06-29,1,1,15069,0.18,0.5,1.99,0.33,,Normal
2026-06-29,1,1,15069,0.74,1.12,1.95,0.94,,Foil
2026-06-29,1,1,15070,0.25,0.59,8.99,0.46,,Normal
2026-06-29,1,1,15070,10.0,13.9,22.36,10.49,,Foil
2026-06-29,1,1,15071,0.21,0.5,9.98,0.32,0.42,Normal
2026-06-29,1,1,15071,3.44,7.05,797.72,9.99,24.99,Foil
2026-06-29,1,1,15072,2.49,3.69,8.88,3.87,,Normal
2026-06-29,1,1,15072,32.58,54.86,400.0,17.05,,Foil
2026-06-29,1,1,15073,0.02,0.25,4.02,0.11,,Normal
2026-06-29,1,1,15073,0.45,0.75,1.28,0.53,0.6,Foil
2026-06-29,1,1,15074,0.27,0.7,20.0,0.39,,Normal
2026-06-29,1,1,15074,1.0,3.96,11.82,1.58,,Foil
2026-06-29,1,1,15075,0.01,0.24,7.86,0.04,0.02,Normal
2026-06-29,1,1,15075,0.24,0.39,1.39,0.27,0.29,Foil
2026-06-29,1,1,15076,0.05,0.25,7.91,0.14,,Normal
2026-06-29,1,1,15076,0.75,1.09,1.94,1.55,,Foil
2026-06-29,1,1,15077,15.15,18.63,28.99,15.87,,Normal
2026-06-29,1,1,15077,30.0,36.49,80.04,47.6,,Foil
2026-06-29,1,1,15078,0.1,0.47,1.7,0.33,,Normal
2026-06-29,1,1,15078,1.5,1.9,5.28,1.73,,Foil
2026-06-29,1,1,15079,0.02,0.25,3.0,0.06,,Normal
2026-06-29,1,1,15079,0.5,0.64,3.4,0.65,,Foil
2026-06-29,1,1,15080,0.18,0.48,4.99,0.4,0.39,Normal
2026-06-29,1,1,15080,4.74,5.75,54.03,5.14,,Foil
2026-06-29,1,1,15081,0.07,0.36,20.0,0.33,,Normal
2026-06-29,1,1,15081,0.8,1.9,11.77,0.86,,Foil
2026-06-29,1,1,15082,0.02,0.25,1.7,0.07,,Normal
2026-06-29,1,1,15082,0.43,0.5,1.09,,,Foil
2026-06-29,1,1,15083,0.03,0.25,1.99,0.11,,Normal
2026-06-29,1,1,15083,0.36,0.53,2.0,0.42,,Foil
2026-06-29,1,1,15084,0.04,0.25,25.0,0.18,,Normal
